Sample_Type,RNA_File_ID,RNA_File_Name,Case_ID,Sample_ID,RNA_Sample_ID,Slide_Sample_ID,Slide_ID,Slide_File_Name
Primary Tumor,8b71d07c-b166-4260-993a-89ecfa70777c,0ca5cc29-f48e-4533-a732-877e7bd2e73a.FPKM-UQ.txt.gz,TCGA-3C-AALI,TCGA-3C-AALI-01,TCGA-3C-AALI-01A,TCGA-3C-AALI-01Z,TCGA-3C-AALI-01Z-00-DX1,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291.svs
Primary Tumor,8b71d07c-b166-4260-993a-89ecfa70777c,0ca5cc29-f48e-4533-a732-877e7bd2e73a.FPKM-UQ.txt.gz,TCGA-3C-AALI,TCGA-3C-AALI-01,TCGA-3C-AALI-01A,TCGA-3C-AALI-01Z,TCGA-3C-AALI-01Z-00-DX2,TCGA-3C-AALI-01Z-00-DX2.CF4496E0-AB52-4F3E-BDF5-C34833B91B7C.svs
Primary Tumor,e3911bdf-a1c6-4811-a871-36335c5debcd,dbb50b30-9856-4a56-91e1-d31ad106fd48.FPKM-UQ.txt.gz,TCGA-3C-AALJ,TCGA-3C-AALJ-01,TCGA-3C-AALJ-01A,TCGA-3C-AALJ-01Z,TCGA-3C-AALJ-01Z-00-DX1,TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96.svs
Primary Tumor,e3911bdf-a1c6-4811-a871-36335c5debcd,dbb50b30-9856-4a56-91e1-d31ad106fd48.FPKM-UQ.txt.gz,TCGA-3C-AALJ,TCGA-3C-AALJ-01,TCGA-3C-AALJ-01A,TCGA-3C-AALJ-01Z,TCGA-3C-AALJ-01Z-00-DX2,TCGA-3C-AALJ-01Z-00-DX2.62DFE56B-B84C-40F9-9625-FCB55767B70D.svs
Primary Tumor,79068856-b4a3-4c41-a7e6-7096d77c2aa8,698eba4b-b0f0-4923-9e43-d9707959c65f.FPKM-UQ.txt.gz,TCGA-3C-AALK,TCGA-3C-AALK-01,TCGA-3C-AALK-01A,TCGA-3C-AALK-01Z,TCGA-3C-AALK-01Z-00-DX1,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53.svs
Primary Tumor,457bf643-a167-4840-850a-2cbefb0e7c7c,463f2d23-8b4d-45f5-9600-06c2920498ca.FPKM-UQ.txt.gz,TCGA-4H-AAAK,TCGA-4H-AAAK-01,TCGA-4H-AAAK-01A,TCGA-4H-AAAK-01Z,TCGA-4H-AAAK-01Z-00-DX1,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9.svs
Primary Tumor,9e7b481a-ce29-4a43-8112-c6993275a991,8f446b76-1d90-4ae6-9f05-db1a0e441ce0.FPKM-UQ.txt.gz,TCGA-5L-AAT0,TCGA-5L-AAT0-01,TCGA-5L-AAT0-01A,TCGA-5L-AAT0-01Z,TCGA-5L-AAT0-01Z-00-DX1,TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861.svs
Primary Tumor,d094f341-9b5b-4f34-8321-f6d97d31a9b3,36725a42-52bc-4e9a-bb7c-728fbb8b1d19.FPKM-UQ.txt.gz,TCGA-5L-AAT1,TCGA-5L-AAT1-01,TCGA-5L-AAT1-01A,TCGA-5L-AAT1-01Z,TCGA-5L-AAT1-01Z-00-DX1,TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D.svs
Primary Tumor,36fe8f25-df82-4fb4-b90f-e666fd16d783,95b8a790-8600-489c-bd34-09803ca600ae.FPKM-UQ.txt.gz,TCGA-5T-A9QA,TCGA-5T-A9QA-01,TCGA-5T-A9QA-01A,TCGA-5T-A9QA-01Z,TCGA-5T-A9QA-01Z-00-DX1,TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1.svs
Primary Tumor,44fdd506-e3fd-48e4-948a-7f8c3c64ba9d,0c05d8f9-d045-4189-95b8-04d221600a83.FPKM-UQ.txt.gz,TCGA-A1-A0SB,TCGA-A1-A0SB-01,TCGA-A1-A0SB-01A,TCGA-A1-A0SB-01Z,TCGA-A1-A0SB-01Z-00-DX1,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1.svs
